Occupation Level,Skill Level,Occupation Code,Occupation,"Employment level
May 2018 ('000)","Projected employment level
May 2023 ('000)","Projected employment growth 
five years to May 2023 - ('000)","Projected employment growth 
five years to May 2023 - (%)",,,,,,,,,
1, ,1,MANAGERS,1561.6,1671.5,109.9,7.0,,,,,,,,,
2, ,11,"Chief Executives, General Managers and Legislators",109.7,114.6,4.8,4.4,,,,,,,,,
3, ,111,"Chief Executives, General Managers and Legislators",109.7,114.6,4.8,4.4,,,,,,,,,
4,1,1111,Chief Executives and Managing Directors,62.8,68.6,5.8,9.2,,,,,,,,,
4,1,1112,General Managers,42.1,41.1,-1.0,-2.4,,,,,,,,,
4,1,1113,Legislators,2.6,2.7,0.1,3.2,,,,,,,,,
4,1,1110,"Chief Executives, General Managers and Legislators nfd",0.2,0.2,0.0,0.0,,,,,,,,,
2, ,12,Farmers and Farm Managers,160.2,155.7,-4.5,-2.8,,,,,,,,,
3, ,121,Farmers and Farm Managers,160.2,155.7,-4.5,-2.8,,,,,,,,,
4,1,1211,Aquaculture Farmers,2.7,2.6,-0.1,-2.1,,,,,,,,,
4,1,1212,Crop Farmers,41.1,41.4,0.2,0.6,,,,,,,,,
4,1,1213,Livestock Farmers,77.3,75.2,-2.1,-2.7,,,,,,,,,
4,1,1214,Mixed Crop and Livestock Farmers,30.2,29.2,-1.0,-3.4,,,,,,,,,
4,1,1210,Farmers and Farm Managers nfd,10.2,8.6,-1.6,-16.0,,,,,,,,,
2, ,13,Specialist Managers,768.7,850.4,81.7,10.6,,,,,,,,,
3, ,131,"Advertising, Public Relations and Sales Managers",145.6,159.9,14.3,9.8,,,,,,,,,
4,1,1311,"Advertising, Public Relations and Sales Managers",145.6,159.9,14.3,9.8,,,,,,,,,
3, ,132,Business Administration Managers,179.9,196.6,16.8,9.3,,,,,,,,,
4,1,1321,Corporate Services Managers,23.8,25.2,1.4,5.7,,,,,,,,,
4,1,1322,Finance Managers,58.7,63.5,4.9,8.3,,,,,,,,,
4,1,1323,Human Resource Managers,57.8,65.2,7.4,12.8,,,,,,,,,
4,1,1324,Policy and Planning Managers,22.0,22.5,0.5,2.5,,,,,,,,,
4,1,1325,Research and Development Managers,14.3,16.9,2.6,18.2,,,,,,,,,
4,1,1320,Business Administration Managers nfd,0.7,0.7,0.0,0.0,,,,,,,,,
3, ,133,"Construction, Distribution and Production Managers",266.0,292.9,26.9,10.1,,,,,,,,,
4,1,1331,Construction Managers,100.9,114.3,13.4,13.3,,,,,,,,,
4,1,1332,Engineering Managers,22.9,26.4,3.5,15.2,,,,,,,,,
4,1,1333,"Importers, Exporters and Wholesalers",26.1,27.6,1.5,5.6,,,,,,,,,
4,1,1334,Manufacturers,22.0,23.6,1.6,7.4,,,,,,,,,
4,1,1335,Production Managers,53.3,56.3,3.0,5.6,,,,,,,,,
4,1,1336,"Supply, Distribution and Procurement Managers",45.2,49.2,4.0,8.9,,,,,,,,,
4,1,1330,"Construction, Distribution and Production Managers nfd",0.1,0.1,0.0,0.0,,,,,,,,,
3, ,134,"Education, Health and Welfare Services Managers",64.8,75.2,10.4,16.1,,,,,,,,,
