page,occ_title,occ_text
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/E430D2A0584611F8CA2584A8000E789C?opendocument,"MAJOR GROUP 1 MANAGERS
","
MANAGERS plan, organise, direct, control, coordinate and review the operations of government, commercial, agricultural, industrial, non-profit and other organisations, and departments.
Indicative Skill Level:
Most occupations in this major group have a level of skill commensurate with the qualifications and experience outlined below.
In Australia:
Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); or 

AQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)

In New Zealand:
Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); or 

NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)

In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.
Tasks Include:

setting the overall direction and objectives of organisations and departments within organisations 
formulating, administering and reviewing policy and legislation to ensure organisational and departmental objectives are met 
directing and coordinating the allocation of assets and resources 
directing, controlling and coordinating the activities of organisations and departments, either personally or through senior subordinate staff 
monitoring and evaluating overall organisational and departmental performance, and adjusting policies, rules and regulations to ensure objectives are met 
representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/8CB4269E5085AC4ECA2584A8000E78E4?opendocument,"SUB-MAJOR GROUP 11 CHIEF EXECUTIVES, GENERAL MANAGERS AND LEGISLATORS
","
CHIEF EXECUTIVES, GENERAL MANAGERS AND LEGISLATORS plan, organise, direct, control and review the overall operations of organisations and their major programs, and represent constituencies in parliaments and local government authorities.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this sub-major group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

determining and setting the overall direction and objectives of organisations 
determining and formulating policies, rules and regulations to govern the overall operations of organisations 
directing and controlling the overall operations of organisations to ensure objectives are met 
monitoring and evaluating the overall performance of organisations and adjusting policies, rules and regulations to ensure objectives are met 
representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility 
determining, planning and formulating government policies, laws, rules and regulations 
investigating matters of concern to the public and electorate, and proposing government action
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/9F0188D9C3C99BA0CA2584A8000E78E5?opendocument,"MINOR GROUP 111 CHIEF EXECUTIVES, GENERAL MANAGERS AND LEGISLATORS
","
CHIEF EXECUTIVES, GENERAL MANAGERS AND LEGISLATORS plan, organise, direct, control and review the overall operations of organisations and their major programs, and represent constituencies in parliaments and local government authorities.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

determining and setting the overall direction and objectives of organisations 
determining and formulating policies, rules and regulations to govern the overall operations of organisations 
directing and controlling the overall operations of organisations to ensure objectives are met 
monitoring and evaluating the overall performance of organisations and adjusting policies, rules and regulations to ensure objectives are met 
representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility 
determining, planning and formulating government policies, laws, rules and regulations 
investigating matters of concern to the public and electorate, and proposing government action
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/AB5A2E94E6C7A0B9CA2584A8000E78E6?opendocument,"UNIT GROUP 1111 CHIEF EXECUTIVES AND MANAGING DIRECTORS
","
CHIEF EXECUTIVES AND MANAGING DIRECTORS determine, formulate and review the general policy programs and the overall direction of organisations within the framework established by boards of directors and similar governing bodies.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

determining objectives, strategies, policies and programs for organisations 
providing overall direction and management to organisations 
authorising material, human and financial resources to implement organisational policies and programs 
monitoring and evaluating performance of organisations against organisational objectives and strategies 
consulting with senior subordinate staff and reviewing recommendations and reports 
preparing, or arranging for the preparation of, reports, budgets and forecasts and presenting them to governing bodies 
representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility 
selecting, or approving the selection of senior staff 
ensuring the organisation complies with company laws and other relevant legislation

Occupation:
111111 Chief Executive or Managing Director
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/A6690CE0DCE529FFCA2584A8000E79BB?opendocument,"UNIT GROUP 1112 GENERAL MANAGERS
","
GENERAL MANAGERS plan, organise, direct, control and review the day-to-day operations and major functions of commercial, industrial, government and defence organisations through departmental managers and subordinate executives.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

planning policy, and setting standards and objectives for organisations 
providing day-to-day direction and management of organisations, and directing and endorsing policy to fulfil objectives, achieve specific goals, and maximise profit and efficiency 
assessing changing situations and responding accordingly by issuing commands and directives to subordinate staff 
consulting with immediate subordinates and departmental heads on matters such as methods of operation, equipment requirements, finance, sales and human resources 
authorising the funding of major policy implementation programs 
representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility 
preparing, or arranging for the preparation of, reports, budgets and forecasts, and presenting them to governing bodies 
selecting and managing the performance of senior staff 
may undertake responsibility for some or all of accounting, sales, marketing, human resources and other specialist operations

Occupations:
111211 Corporate General Manager 
111212 Defence Force Senior Officer
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/A252B4F65F472BFECA2584A8000E7A3E?opendocument,"UNIT GROUP 1113 LEGISLATORS
","
LEGISLATORS represent the interests of people in constituencies as elected members of national, state and territory parliaments and local government authorities.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

developing national, state, territory or local government policy, and formulating, amending and repealing legislation and by-laws 
helping constituents with a range of problems particularly with regard to matters concerning government and local agencies 
investigating matters of concern to the public and to particular persons and groups 
introducing proposals for government action and representing public and electoral interests 
issuing policy directions to government departments and exercising control over local government authorities 
attending community functions and meetings of local groups to provide service to the community, gauge public opinion and provide information on government plans 
may serve as a member on parliamentary committees and inquiries 
may present petitions on behalf of concerned groups

Occupations:
111311 Local Government Legislator 
111312 Member of Parliament 
111399 Legislators nec
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/BEA8B048C7AAC49BCA2584A8000E7912?opendocument,"SUB-MAJOR GROUP 12 FARMERS AND FARM MANAGERS
","
FARMERS AND FARM MANAGERS plan, organise, control, coordinate and perform farming operations in agricultural establishments to grow crops, and breed and raise livestock, and fish and other aquatic life.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this sub-major group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

planning and coordinating the operation of hatcheries and crop production 
breeding and raising livestock and aquatic stock 
monitoring and maintaining the health of stock 
identifying and controlling environmental toxins, weeds, pests and diseases 
organising and conducting farming operations such as maintaining buildings, water supply systems and equipment 
managing business capital, monitoring market activity and planning production to meet contract requirements and market demand
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/1DA7B83246DA47A8CA2584A8000E7913?opendocument,"MINOR GROUP 121 FARMERS AND FARM MANAGERS
","
FARMERS AND FARM MANAGERS plan, organise, control, coordinate and perform farming operations in agricultural establishments to grow crops, and breed and raise livestock, and fish and other aquatic life.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

planning and coordinating the operation of hatcheries and crop production 
breeding and raising livestock and aquatic stock 
monitoring and maintaining the health of stock 
identifying and controlling environmental toxins, weeds, pests and diseases 
organising and conducting farming operations such as maintaining buildings, water supply systems and equipment 
managing business capital, monitoring market activity and planning production to meet contract requirements and market demand
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/EDC9C3E7F19AC6E3CA2584A8000E7914?opendocument,"UNIT GROUP 1211 AQUACULTURE FARMERS
","
AQUACULTURE FARMERS plan, organise, control, coordinate and perform farming operations to breed and raise fish and other aquatic stock.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

planning and coordinating the operation of hatcheries to produce fish fry, seed oysters, crayfish, marron and prawns taking into account environmental and market factors 
monitoring the environment to maintain optimal growing conditions 
identifying and controlling environmental toxins and diseases 
monitoring stock growth rates to determine when to harvest 
transporting fish, crayfish, marron, prawns and sticks of seed oysters to new tanks, ponds, cages and floating net pens 
directing and overseeing the harvesting, grading and packaging of fish, oysters and other aquatic stock 
organising the sale, purchase and transportation of fish stock 
maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly 
managing business capital including budgeting, taxation, debt and loan management 
may select, train and supervise staff and contractors

Occupation:
121111 Aquaculture Farmer
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/85DB8D964FCE5575CA2584A8000E79B8?opendocument,"UNIT GROUP 1212 CROP FARMERS
","
CROP FARMERS plan, organise, control, coordinate and perform farming operations to grow crops.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

planning and coordinating the production and marketing of crops, such as grain, cotton, sugar cane, fruit and nuts, vegetables, turf and flowers, from soil preparation to harvest taking into account environmental and market factors 
selecting and planting seeds, seedlings and bulbs, and grafting new varieties to root stocks 
maintaining crop production by cultivating, de-budding and pruning, and maintaining optimal growing conditions 
organising and conducting farming operations, such as collecting, storing, grading and packaging produce, and organising the sale, purchase and despatch of produce 
directing and overseeing general farming activities such as fertilising and pest and weed control 
maintaining farm buildings, fences, equipment and water supply systems 
maintaining and evaluating records of farming activities, monitoring market activity, and planning crop preparation and production to meet contract requirements and market demand 
managing business capital including budgeting, taxation, debt and loan management 
may select, train and supervise staff and contractors

Occupations:
121211 Cotton Grower 
121212 Flower Grower 
121213 Fruit or Nut Grower 
121214 Grain, Oilseed or Pasture Grower / Field Crop Grower
121215 Grape Grower 
121216 Mixed Crop Farmer 
121217 Sugar Cane Grower 
121218 Turf Grower 
121221 Vegetable Grower (Aus) / Market Gardener (NZ) 
121299 Crop Farmers nec
"
